state_abbr,city_norm,median_sqft,p25_sqft,p75_sqft,kaggle_n,median_ppsqft,sqft_range
AZ,aguila,1500.0,1081.0,1712.0,9,332.6666666666667,631.0
AZ,ajo,1075.5,730.25,1420.75,2,232.19617302290007,690.5
AZ,alpine,1674.0,1276.0,2440.0,13,285.0,1164.0
AZ,amado,2476.0,1690.25,4752.0,6,155.7275132275132,3061.75
AZ,anthem,2146.5,1783.75,2751.0,64,290.99113034214867,967.25
AZ,apache junction,1344.0,830.0,1680.25,216,238.93065998329155,850.25
AZ,arivaca,2636.0,2444.0,2881.0,5,265.1745068285281,437.0
AZ,arizona city,1400.0,1207.75,1603.0,164,197.78085924195983,395.25
AZ,arlington,1560.0,1560.0,1560.0,1,253.2051282051282,0.0
AZ,ash fork,1456.0,873.0,2136.0,35,207.40740740740742,1263.0
AZ,avondale,1914.0,1553.0,2340.0,141,240.64171122994654,787.0
AZ,bellemont,1617.0,1382.25,1900.5,6,286.39231668058176,518.25
AZ,benson,1802.0,1223.0,2270.0,45,130.00817661488145,1047.0
AZ,bisbee,1800.0,1450.5,2096.0,27,110.07268951194185,645.5
AZ,black canyon city,1441.0,1201.0,1585.0,13,217.80774550484094,384.0
AZ,blue,4000.0,4000.0,4000.0,1,875.0,0.0
AZ,bouse,944.0,775.0,1216.0,17,139.16666666666666,441.0
AZ,brenda,1624.0,1624.0,1624.0,1,92.36453201970443,0.0
AZ,buckeye,2000.0,1635.0,2422.25,570,244.09844147274032,787.25
AZ,bullhead city,1456.0,1190.0,1811.0,471,207.9790096878364,621.0
AZ,camp verde,1600.0,1173.0,1992.0,54,219.9341021416804,819.0
AZ,carefree,2527.5,1895.0,3935.0,42,419.12798109989654,2040.0
AZ,casa grande,1774.0,1400.0,2193.0,481,205.22233712512926,793.0
AZ,cave creek,2779.0,1975.0,3960.0,133,363.3652430044183,1985.0
AZ,chandler,1981.5,1469.25,2678.5,600,303.0732350831654,1209.25
AZ,chino valley,1583.0,1320.0,2066.0,125,239.86293546544832,746.0
AZ,chloride,3346.0,2217.0,4475.0,2,115.19145332115716,2258.0
AZ,clarkdale,1822.0,1557.25,2440.0,18,262.92235085163964,882.75
AZ,claypool,1531.5,1456.25,1606.75,2,122.64178966972355,150.5
AZ,clifton,2000.0,1652.0,2596.0,3,92.02453987730061,944.0
AZ,cochise,1760.0,1163.0,2128.0,13,173.47826086956522,965.0
AZ,colorado city,1787.0,1787.0,1787.0,1,265.80861779518744,0.0
AZ,concho,1687.5,534.0,2201.0,14,149.14166666666668,1667.0
AZ,congress,1409.0,1100.0,2016.0,21,227.1885521885522,916.0
AZ,coolidge,1601.0,1280.0,1963.75,220,192.48873148744366,683.75
AZ,cordes lakes,1519.0,1221.5,1816.5,2,236.24931911355753,595.0
AZ,cornville,1687.0,1526.0,2193.0,30,290.4768622476729,667.0
AZ,corona de tucson,2316.5,1963.0,2587.0,4,199.8228830961638,624.0
AZ,cottonwood,1508.0,1274.25,1849.25,72,254.84156541913427,575.0
AZ,crown king,1161.5,857.75,1596.0,8,271.9183527806764,738.25
AZ,desert hills,3246.0,3246.0,3246.0,1,354.28219346888477,0.0
AZ,dewey,2184.5,1626.25,3913.5,6,200.95010899108848,2287.25
AZ,dewey humboldt,1759.0,1421.25,2214.75,90,247.8744289076561,793.5
AZ,dolan springs,1028.0,720.0,1407.0,40,119.43879551820729,687.0
AZ,double adobe,3015.0,3015.0,3015.0,1,132.33830845771143,0.0
AZ,douglas,1346.0,1120.0,2283.0,35,114.387031408308,1163.0
AZ,dragoon,1287.0,1098.5,1475.5,2,115.54429945054945,377.0
AZ,dudleyville,1403.0,1071.5,1784.25,4,89.55175395993626,712.75
AZ,duncan,1152.0,728.0,1904.0,5,107.66806722689076,1176.0
AZ,eagar,2363.5,2218.0,5120.0,16,195.99820143884892,2902.0
AZ,ehrenberg,936.0,904.0,968.0,2,134.78669724770643,64.0
AZ,el mirage,1615.0,1238.0,1969.5,59,251.01495726495727,731.5
AZ,elfrida,1466.5,1166.5,2455.25,10,112.95044786403307,1288.75
AZ,elgin,2613.0,1455.5,3686.5,8,291.21264092746225,2231.0
AZ,eloy,1421.0,1200.0,1713.0,92,189.99166666666667,513.0
AZ,flagstaff,1644.0,1161.0,2510.5,256,383.95728101540317,1349.5
AZ,florence,1802.5,1425.5,2153.25,230,210.34880289816965,727.75
AZ,forest lakes,1539.0,1073.25,1946.0,8,409.74256310733864,872.75
AZ,fort mcdowell,3695.0,3695.0,3695.0,1,405.6833558863329,0.0
