house_score,value_tier,price_value,predicted_price,pricing_gap_pct,investment_opportunity_score,undervalued_flag,beds,baths,lot_size_sqft,latitude,longitude,luxury_score,amenities_score
16.5,Mid-Range,57000,441369.3756660559,6.743322380106243,99.99999999999997,1,1,1.0,6534.0,21.3105731,-157.859051,0,3
12.52,Budget,120000,555693.4867722024,3.63077905643502,53.842287356256016,1,3,2.0,7984.0,34.188652,-118.588456,0,0
9.0,Budget,65000,300211.1306776232,3.6186327796557416,53.66216316360444,1,3,2.0,4597.0,34.07097,-118.17047,0,0
30.18,Premium,359000,1423513.231290612,2.965217914458529,43.972294638545655,1,1,2.0,6534.0,40.8301222,-73.9202611,1,1
9.24,Budget,70250,271809.7284653744,2.869177629400347,42.54805747332281,1,3,2.0,7405.0,44.026235,-123.141142,0,0
29.09,Premium,499900,1810370.0068517216,2.6214643065647563,38.8745727425188,1,7,3.0,1530.0,40.6765548,-73.9063357,0,0
26.39,Premium,469000,1469074.4482069446,2.132354900228027,31.621285291915697,1,2,2.0,6403.0,21.2910697,-157.831014,0,0
24.4,Premium,329000,1004069.1514253377,2.0518819192259503,30.42790471969023,1,1,1.0,437385960.0,40.7690436,-73.9875099,1,1
12.44,Budget,140000,422600.733371727,2.0185766669409073,29.93400179059391,1,7,4.0,474368400.0,41.449132,-81.6222098,0,1
16.44,Mid-Range,199900,593893.2082736552,1.9709515171268392,29.227740784356683,1,4,2.0,1631801160.0,38.1047376,-85.7685326,0,2
27.3,Premium,97900,270978.3912512502,1.767910022995406,26.216720545826792,1,1,1.0,9583.0,44.9644059,-93.2769634,1,3
16.44,Mid-Range,58000,157002.38371351417,1.706937650233003,25.31252581871381,1,2,1.0,6534.0,44.9848664,-92.9875329,0,0
15.13,Mid-Range,125000,335994.65779242327,1.6879572623393861,25.03105462324559,1,3,2.0,910752480.0,44.027259,-123.13849,1,0
26.93,Premium,140000,365208.9012027244,1.6086350085908885,23.854738853780646,1,3,1.0,6534.0,39.0013157,-77.0411734,2,5
8.64,Budget,65000,165620.73738704476,1.5480113444160732,22.955715328835318,1,4,1.0,7000.0,40.4547033,-80.0651998,0,1
9.2,Budget,65000,165287.4844076902,1.5428843755029262,22.879684529190953,1,3,2.0,6534.0,44.0415978,-123.0373531,0,1
16.12,Mid-Range,280000,702218.173233302,1.5079220472617927,22.361207858348326,1,2,2.0,6534.0,25.7509211,-80.3861078,1,1
14.15,Mid-Range,209000,520047.9986070922,1.4882679359191013,22.06974562656995,1,1,1.0,6534.0,40.761815,-73.7892147,0,2
17.17,Mid-Range,195000,483765.8379116817,1.480850450829137,21.95974743225791,1,3,2.0,1897473600.0,44.02132,-123.0922678,1,0
8.52,Budget,55000,131142.2110813917,1.3844038378434853,20.529484594212242,1,3,1.0,1344.0,39.3099666,-76.6679841,0,1
18.89,Mid-Range,105000,247743.11806811308,1.3594582673153626,20.15955224100945,1,1,1.0,6534.0,39.0980821,-77.066841,1,4
15.0,Mid-Range,185000,435772.36684110935,1.3555263072492398,20.101242921592586,1,1,1.0,2037867480.0,21.280858,-157.8270786,0,2
15.0,Mid-Range,185000,435772.36684110935,1.3555263072492398,20.101242921592586,1,1,1.0,2037867480.0,21.280858,-157.8270786,0,2
